S.No,Article Title,Publication Year,Authors,Study Objectives,Reported Challenges,Reported Limitations,Dataset Name,Dataset Size,Performance Metrics,Model Used,Methods Employed,Techniques Applied,Applications,Tasks Addressed,Research Gaps in Conversational AI,Gap-Oriented Critical Remarks
62,Walia-LLM: Enhancing Amharic-LLaMA by Integrating Task-Specific and Generative Datasets ​,2024,"Israel Abebe Azime, Atnafu Lambebo Tonja, Tadesse Destaw Belay, Mitiku Yohannes Fuge, Aman Kassahun Wassie, Eyasu Shiferaw Jada, Yonas Chanie, Walelign Tewabe Sewunetie, Seid Muhie Yimam ​",Enhancing the LLAMA-2-Amharic model by integrating task-specific and generative datasets to improve language model performance. ​,Adapting LLMs to low-resource languages due to the unavailability of quality instruction datasets. ​,"Lack of reliable generation metrics, models generating wordy outputs, computing power and time constraints, significant limitations in spell correction and NER tasks, potential cultural bias from machine-translated datasets. ​","Amharic QA, MasakhaNews, MT (amh-eng), MT (eng-amh), Summarization, Text Expansion, AfriSenti, NER, News Title Gen., Poem Generation, Poem Completion, Religious Lyrics Gen., Religious Lyrics Compl., Story generation, Spelling Correction, Non-religious Lyrics Gen. ​","Total: 122,637 (train), 14,911 (val), 15,011 (test) ​","Weighted F1 score, ROUGEL, SacreBLEU, chrF++, human evaluation (Likert scale)",,,,"Sentiment analysis, news classification, question answering, text summarization, text expansion, named entity recognition, music lyrics generation, story generation, spell correction ​","Sentiment analysis, news classification, question answering, text summarization, text expansion, named entity recognition, music lyrics generation, story generation, spell correction ​","Limited exploration of generation tasks for low-resource languages, lack of reliable generation metrics, potential cultural bias from machine-translated datasets",The study highlights the need for more reliable generation metrics and human-annotated instruction datasets. ​ It also points out the potential cultural bias introduced by machine-translated datasets and the limitations in spell correction and NER tasks. ​
63,Text Independent Amharic Language Speaker Identification In Noisy Environments using Speech Processing Techniques,2017,"Abrham Debasu Mengistu, Dagnachew Melesew Alemayehu",To analyze the performance of text-independent speaker identification for Amharic in noisy environments.,"Noisy recording environments (e.g., cafes, markets, schools) impact speaker identification accuracy.",Limited to specific noise conditions; may not generalize across all noisy environments.,Speech samples collected from 90 speakers (both genders).,"270 speech samples, each 10 seconds long.","Accuracy rates: VQ (59.2%), GMM (70.9%), BPNN (84.7%) for combined MFCC and GFCC features.",,,,"Speaker identification systems in noisy environments, potential for real-world applications in security and communication.",Identification of speakers based on voice samples in diverse noise conditions.,Lack of robust models for real-time speaker identification in various noisy environments.,Need for improved algorithms that can adapt to dynamic noise environments and diverse speaker characteristics.
64,Phoneme-based English-Amharic Statistical Machine Translation,2015,"• Mulu Gebreegziabher Teshome (PhD), Addis Ababa University<br>• Laurent Besacier (Prof.), University Joseph Fourier<br>• Girma Taye (PhD), Addis Ababa University<br>• Dereje Teferi (PhD), Addis Ababa University",• Improve translation quality between English and Amharic using phonemic transcription<br>• Address data sparseness and out-of-vocabulary problems in Amharic-English translation,• Linguistic diversity between English and Amharic<br>• Syllabic character variations in Amharic<br>• Duplicate phonemic characters<br>• Complex morphology<br>• Data sparseness<br>• Out-of-vocabulary (OOV) problems<br>• Allophonic variations<br>• Script differences (Latin vs. Ge'ez),Not explicitly stated in the provided content,Parliamentary documents (English-Amharic parallel corpus),"• Total: 18,432 English-Amharic parallel sentences<br>• Training: 16,432 sentence pairs (90%)<br>• Tuning/Testing: 2,000 sentence pairs (10%)<br>• Additional 254,649 monolingual sentences for Language Model",BLEU score:<br>• Phoneme-based EASMT: 37.53%<br>• Baseline phrase-based EASMT: 35.32%<br>• Improvement: 2.21 BLEU points,,,,English to Amharic machine translation,• Parallel corpus alignment<br>• Phoneme conversion<br>• Statistical machine translation<br>• Language modeling,Not explicitly discussed in the provided content,• Need for standardization in Amharic phoneme count (ranges from 22-34 in literature)<br>• Debate over treatment of labialized and palatalised consonants as phonemes<br>• Handling of foreign loan words and their phonemes in Amharic
65,Recognition of Amharic Sign Language with Amharic Alphabet Signs using ANN and SVM,2021,"Nigus Kefyalew Tamiru, Menore Tekeba, Ayodeji Olalekan Salau",Develop an automatic Amharic sign language translator to translate Amharic alphabet signs into text using digital image processing and machine learning algorithms.,Limited number of sign language guides; difficulty in recognizing AMSL due to similar shapes.,The system focuses on specific signs and basic Amharic alphabet signs; does not cover all possible signs.,Videos of Amharic sign language captured from signers.,1710 videos of 52 different signs,"Accuracy, Precision, Recall, F-score",,,,Sign language recognition for Amharic alphabet,Translating sign language into text,Need for integration with conversational AI to enhance real-time communication and interaction for people with hearing impairments.,Current systems are limited in scope and need to address more complex sign language variations; integration with conversational AI could improve accessibility and usability for real-world applications.
66,Semantic Role Labeling for Amharic Text Using Multiple Embeddings and Deep Neural Network,2023,"Bemnet Meresa Hailu, Yaregal Assabie, Yenewondim Biadgie Sinshaw",Develop a semantic role labeler for Amharic text using deep neural networks and multiple embeddings.,Amharic's morphological complexity and lack of lexical resources.,Lack of standard training and test data for under-resourced languages like Amharic.The study targeted simple Amharic sentences and was constrained by limited computational resources and a small corpus size.,"Prepared a custom dataset with domain experts.Amharic text from various sources such as the Amharic Bible, Addis Zemen Gazette, The Ethiopian Reporter Newspaper, Ethiopian Federal Negarit Gazette, and others. ​","10,000 sentences","94.96% accuracy, 81.2% F1 score",,,,"Question answering, information extraction, text summarization, machine translation, language understanding, sentence similarity measurement","Semantic role labeling: predicate identification, argument identification, and argument classification",Need for SRL systems to enhance NLP applications in languages with limited resources like Amharic.The study did not explicitly address conversational AI but focused on semantic role labeling for Amharic text.,"Proposed a novel framework for Amharic, but standard datasets are still needed for consistency and benchmarking.Future work should focus on improving the quality of the corpus, experimenting with other contextualized neural word embedding methods like ELMo and BERT, and addressing more complex Amharic sentences. ​"
67,SemEval-2024 Task 1: Semantic Textual Relatedness for African and Asian Languages,2024,"Nedjma Ousidhoum, Shamsuddeen Hassan Muhammad, Mohamed Abdalla, Idris Abdulmumin, Ibrahim Said Ahmad, Sanchit Ahuja, Alham Fikri Aji, Vladimir Araujo, Meriem Beloucif, Christine De Kock, Oumaima Hourrane, Manish Shrivastava, Thamar Solorio, Nirmal Surange, Krishnapriya Vishnubhotla, Seid Muhie Yimam, Saif M. Mohammad",Investigate semantic textual relatedness across 14 languages from Africa and Asia.,Limited availability of NLP resources in African and Asian languages.,Focus on low-resource languages with varying levels of dataset availability.Focus on sentence-level semantic relatedness may not capture all linguistic nuances.,SemRel datasets for 14 languages.,"Varies per language, e.g., Afrikaans (Train: -, Dev: 375, Test: 375), Amharic (Train: 992, Dev: 95, Test: 171), etc.Varies by language; examples include 5,500 for English, 1,200 for Marathi.",Spearman rank correlation coefficient.,,,,"Evaluating sentence representation methods, question answering, summarization.",Rank sentence pairs by semantic relatedness in 14 languages.,Lack of resources and models for low-resource languages in conversational AI.Need for better resources and techniques for low-resource languages in conversational AI contexts.,"Need for more diverse datasets and exploration of more advanced techniques for semantic understanding in underrepresented languages.The task highlights the need for more comprehensive datasets and models that can handle diverse linguistic features and semantic relatedness, beyond simple similarity, especially for languages with limited existing resources and research."
68,Speech Processing for Text Independent Amharic Language Dialect Recognition,2017,"Abrham Debasu Mengistu, Dagnachew Melesew Alemayehu",To recognize dialects of the Amharic language using speech processing techniques.,Lack of existing dialect recognition systems for Amharic.,The need for a noise-robust system and a larger dialect database.,Collected speech samples from Amharic speakers.,"100 speakers per dialect group, with 10-second samples at 16KHz, 16-bit.",Recognition accuracy.,,,,Dialect recognition for Amharic language.,Classify Amharic language dialects using speech samples.,Need for more robust systems and larger databases for dialect recognition in low-resource languages.,"Future work should focus on developing noise-robust systems and creating large, accessible dialect databases to improve recognition accuracy and efficiency."
69,Offline Handwritten Amharic Character Recognition Using Few-shot Learning,2022,"Mesay Samuel, Lars Schmidt-Thieme, DP Sharma, Abiot Sinamo, Abey Bruck","To implement few-shot learning for offline handwritten Amharic character recognition, exploring the impact of training episodes on performance.","Lack of labeled datasets for Amharic, difficulty in training deep learning architectures due to limited data, and general challenges in few-shot learning approaches.","The focus on common image datasets in the literature, limited exploration of Amharic-specific challenges, and the need for more realistic datasets.",Handwritten Amharic character dataset collected via an Android app.,"1,325 handwritten character images (5 images per character for 265 Amharic characters).","Accuracy scores: Baseline (1-shot: 38.10%, 2-shot: 91.10%, 3-shot: 93.70%), Proposed Method 1 (1-shot: 75.90%, 2-shot: 90.10%, 3-shot: 88.40%), Proposed Method 2 (1-shot: 38.30%, 2-shot: 87.00%, 3-shot: 92.90%).",,,,"Handwritten character recognition in Amharic, potential applications in low-resource language processing.","Character recognition tasks using few-shot learning settings (1-shot, 2-shot, 3-shot).",Limited exploration of few-shot learning techniques applied to conversational AI in low-resource languages like Amharic.,"Need for further research on the effects of varying ways in few-shot learning, as well as the formulation of training episodes specific to Amharic characters to enhance recognition performance."
70,Sub-word Based End-to-End Speech Recognition for an Under-Resourced Language: Amharic,2020,"Nirayo Hailu Gebreegziabher, Andreas Nürnberger","To develop an end-to-end speech recognition system for Amharic, focusing on sub-lexical units (graphemes, phonemes, syllables) to improve recognition performance.","Limited availability of datasets, complexities of the Amharic language's morphology, and the inefficiency of traditional phone-based models for long-term dependencies.","Challenges in collecting substantial speech corpora, dependency on language-specific issues, and the need for well-prepared datasets for effective training.","Amharic speech corpus including read-speech, audiobooks, and multi-genre radio shows.","Approximately 52 hours of speech data, with 16,976 sentences in the training set, 359 in the development set, and 2,780 in the test set.","Character Error Rate (CER): 19.21% (syllable-based model), Syllable Error Rate (SER): 39.98% (syllable-based model).",,,,"Automatic Speech Recognition (ASR) for Amharic, potential integration with spoken content retrieval systems.","Speech recognition tasks focusing on grapheme, phoneme, and syllable-based outputs.",Lack of extensive research applying end-to-end ASR techniques to low-resource languages like Amharic.,"Need for further exploration of additional data sources, improvement in hyperparameter tuning, and evaluation of the system's performance in real-world applications."
71,The Effect of Normalization for Bi-directional Amharic-English Neural Machine Translation,2022,"Tadesse Destaw Belay, Atnafu Lambebo Tonja, Olga Kolesnikova, Seid Muhie Yimam, Abinew Ali Ayele, Silesh Bogale Haile, Grigori Sidorov, Alexander Gelbukh",To explore the effects of normalization on Amharic-English machine translation and develop a large-scale parallel dataset.,"Limited resources for Amharic, challenges in translating morphologically rich languages, and noise in datasets.",Previous studies used smaller datasets and lacked structured training/testing splits.,"Amharic-English parallel sentence dataset compiled from various sources, including news.","Over 1.1 million total sentences, with 888,837 unique parallel sentences.","BLEU scores: 37.79 (Amharic-English), 32.74 (English-Amharic) using the M2M100 model.",,,,Machine translation systems for Amharic-English and English-Amharic translation tasks.,Bi-directional machine translation between Amharic and English.,Need for better translation systems for low-resource languages like Amharic in conversational contexts.,"Emphasis on the necessity for larger, well-structured datasets and improved translation models for morphologically complex languages."
72,Topic Modeling Based Text Classification Regarding Islamophobia Using Word Embedding and Transformers Techniques,2023,"Ammar Saeed, Hikmat Ullah Khan, Achyut Shankar, Talha Imran, Danish Khan, Muhammad Kamran, Muhammad Attique Khan",Detect and classify Islamophobic textual content on social media platforms using NLP techniques.,Lack of a clear definition of Islamophobia; extensive manual processes in content detection; variations in intensity based on regional demographics.,No widely accepted methodology for comparing Islamophobia across different contexts; limited public datasets for training models.,Two datasets: one from Google Fact-Checking API and the other from Twitter focusing on Islam-related content.,Not explicitly stated; indicates extraction from large sources and specific tweets.,"Accuracy, Precision, Recall, F1-score, Area Under the Curve (AUC).",,,,Classification of social media content; detection of hate speech; sentiment analysis.,Text classification; feature extraction; empirical analysis.,Limited exploration of conversational AI in addressing Islamophobia; need for automated detection systems.,"The study indicates a significant gap in automated systems for real-time monitoring of Islamophobic content, suggesting further research is needed in integrating AI for efficient content moderation."
73,Topic Modeling for Amharic User Generated Texts,2021,"Girma Neshir, Andreas Rauber, Solomon Atnafu",Develop a supervised topic model for Amharic corpus; investigate the effect of stemming on topic detection; evaluate models.,Curse of dimensionality; lack of linguistic resources; quality of data in less-resourced languages like Amharic.,Few existing linguistic resources; limited labeled datasets; previous studies focused on unsupervised methods.,Amharic corpus of user-generated texts collected from Ethiopian Reporter.,"14,751 documents",Accuracy (88% reported using SVM),,,,Topic classification; sentiment analysis; information extraction; text summarization.,Topic detection and classification of Amharic user-generated texts.,Lack of effective models and resources for less-resourced languages in conversational AI applications.,Need for more research on supervised topic modeling in Amharic; potential for developing linguistic resources and tools.
74,Towards audio-based identification of Ethio-Semitic languages using recurrent neural network,2023,"Amlakie Aschale Alemu, Malefia Demilie Melese, Ayodeji Olalekan Salau","To develop an audio-based language identification system for Ethio-Semitic languages using RNNs, specifically focusing on Amharic, Geez, Guragigna, and Tigrigna.",Difficulty in identifying features that accurately differentiate between similar languages; limited resources for Ethiopian languages in technology; lack of existing datasets.,No publicly available datasets for Ethio-Semitic languages; reliance on a unique dataset; potential biases in audio data collection due to mixed language use by speakers.,"Unique audio dataset created from recordings of native speakers of Amharic, Geez, Guragigna, and Tigrigna.",480 minutes of audio data (8 hours total).,"Accuracy, Precision, Recall, F1 Score.",,,,Automatic language identification (LID) for Ethio-Semitic languages.,Identifying spoken languages from audio recordings.,Lack of resources and datasets for Ethio-Semitic languages in NLP and conversational AI applications; limited exploration of deep learning methods for these languages.,"The study highlights the need for more comprehensive datasets for under-resourced languages to enhance technological advancements in language identification and conversational AI, calling for further research and collaboration in this area."
75,Transliterating Latin to Amharic scripts using user-defined rules and character mappings,2023,"Zeleke Abebaw, Andreas Rauber, Solomon Atnafu",To design and implement a generic Latin to Amharic script transliteration system (RBLatAm) that addresses transliteration errors and adapts to social media uses., Lack of inclusiveness in existing systems<br>- Emergence of bias<br>- Transliteration gaps for double vowels and consonants<br>- Absence of mappings for new writing styles.,- The system's performance on certain types of named entities and its dependency on existing transliteration conventions.,Transliterated Amharic names (named entities) and social media comments,- 723 instances of named entities<br>- 1117 instances of non-named entities,Accuracy of 75.8% for non-named entities and 84.6% for named entities.,,,,"Text mining, sentiment analysis, hate speech detection, and social media processing",Transliteration of Latin script to Amharic for better text analysis and processing,"Lack of models that can handle transliterated texts effectively, limiting the capability of NLP applications in understanding informal user-generated content.","Existing systems fail to account for the diversity of user-generated scripts, leading to inaccuracies in processing and analysis of Amharic language content."
76,"Large Vocabulary Read Speech Corpora for Four Ethiopian Languages: Amharic, Tigrigna, Oromo and Wolaytta",2020,"Solomon Teferra Abate, Martha Yifiru Tachbelie, Michael Melese, Hafte Abera, Tewodros Abebe, Wondwossen Mulugeta, Yaregal Assabie, Million Meshesha, Solomon Atinafu, Binyam Ephrem","To develop large speech corpora for Amharic, Tigrigna, Oromo, and Wolaytta; assess usability for ASR systems.",Lack of existing resources for Ethiopian languages; high costs of corpus development.,"Limited text corpora for language modeling, especially for Oromo and Wolaytta.","Speech corpora for Amharic, Tigrigna, Oromo, and Wolaytta.",Approximately 22 hours per language (totaling around 100 hours across all languages).,"Word Error Rates (WER): Amharic 37.65%, Tigrigna 31.03%, Oromo 38.02%, Wolaytta 33.89%.",,,,"Automatic Speech Recognition for conversational interfaces, transcription services, and accessibility tools.","Speech data collection, corpus development, ASR system training and evaluation.",Under-resourced status of Ethiopian languages in ASR development; need for more comprehensive language models.,Emphasis on the need for additional text corpora and better language models for effective ASR in Oromo and Wolaytta; potential for increasing digital accessibility in Ethiopia.
77,Learned Text Representation for Amharic Information Retrieval and Natural Language Processing,2023,"Tilahun Yeshambel, Josiane Mothe, Yaregal Assabie",To investigate learned text representations for information retrieval and NLP tasks using Amharic language models.,Morphological complexity of Amharic; lack of usable linguistic resources and pre-trained models.,Inaccessibility of previously developed models; limited research on learned text representations in Amharic.,"Amharic ad hoc information retrieval test collections with word-based, stem-based, and root-based representations.",Not explicitly mentioned in the provided text.,Evaluation of query expansion and classification tasks; comparison of word-based vs. stem-based vs. root-based representations.,,,,"Information retrieval, text classification, masked language modeling, next sentence prediction.","Query expansion, language modeling, and text classification tasks.",Lack of pre-trained models for conversational AI applications in Amharic; need for robust NLP tools.,There's a significant need for accessible Amharic NLP resources; existing models are not optimized for conversational contexts.
78,Learning Word and Sub-word Vectors for Amharic (Less Resourced Language),2020,"Abebawu Eshetu, Getenesh Teshome, Tewodros Abebe",To train high-quality word embeddings for Amharic using various online and offline data sources and evaluate their performance on NLP tasks.,"Lack of large curated datasets for Amharic, noise in data from online sources, and the morphological richness of the Amharic language complicating word representation.",Existing pre-trained models do not adequately represent Amharic due to limited vocabulary coverage and poor data preparation in previous works.,"Wikipedia, government websites, news articles, Facebook posts, blogs, legal documents, fictional texts, academic books, and spiritual documents.","686,573,429 tokens",Intrinsic evaluation (word analogy task) and extrinsic evaluation (Neural POS Tagger accuracy).,,,,"Natural language processing tasks for the Amharic language, including word analogy and part-of-speech tagging.",Word analogy task and extrinsic evaluation using a neural part-of-speech tagger.,"Limited research on conversational AI applications specifically for Amharic language, necessitating the development of tailored models and datasets for effective communication.",The need for comprehensive data collection strategies and evaluation methods for less-resourced languages like Amharic to leverage advancements in conversational AI effectively.
79,Lexicon-Stance Based Amharic Fake News Detection,2023,"Ibrahim N. Awol, Sosina M. Gashaw",To improve fake news detection in Amharic by combining lexicon-based and stance-based features.,Difficulty in distinguishing between real and misleading information due to the noisy nature of social media content.,Limited resources for detecting fake news in non-resourceful languages like Amharic; existing methods may not capture unique writing styles of fake news.,Newly collected Amharic fake news dataset from Facebook.,3000 news articles (1500 real and 1500 fake).,"Accuracy, Precision, Recall, F1-score, and AUC (Area Under Curve).",,,,Fake news detection in Amharic language on social media platforms.,Classification of news articles as real or fake.,Lack of developed models for automatic fake news detection in non-English languages; potential for conversational AI to assist in real-time verification of news authenticity.,"There is a need for more research on the stylistic features of fake news and their implications for detection algorithms, particularly in non-resourceful languages like Amharic. More robust datasets are necessary for further validation."
80,Meta-Learner for Amharic Sentiment Classification,2021,"Girma Neshir, Andreas Rauber, Solomon Atnafu",Investigate the performance of ensemble learning approaches for Amharic sentiment classification.,Lack of NLP resources for Amharic and scarcity of annotated corpora.,Difficulty in achieving high performance due to imbalanced datasets and limited linguistic resources.,"Four datasets: GCOA, PMO, EBC, ZEMEN","GCOA: 2871, PMO: 6637, EBC: 2444, ZEMEN: 1440","Accuracy, Precision, Recall, F1-Score, AUC, LogLoss",,,,Sentiment analysis of user-generated texts in Amharic.,Sentiment classification.,Limited research on sentiment analysis for less-resourced languages like Amharic in conversational AI contexts.,Need for more robust NLP tools and resources for Amharic; addressing the imbalance in datasets is crucial for better model performance.
81,Morpheme-Based Neural Machine Translation Models for Low-Resource Fusion Languages,2023,Andargachew Mekonnen Gezmu and Andreas Nürnberger,To investigate the applicability of morpheme-based word segmentation in neural machine translation for low-resource fusion languages.,Handling of rare and out-of-vocabulary words in fusion languages; morphological complexity affecting segmentation; need for substantial parallel training data.,Conventional segmentation methods are primarily designed for agglutinative languages and may lose semantic information in fusion languages.,Amharic-English parallel corpus,"140,000 training sentence pairs, 2,864 validation sentence pairs, 2,500 test sentence pairs","BLEU, COMET",,,,"Neural machine translation for low-resource languages, specifically targeting the Amharic-English translation task.","Machine translation, word segmentation, morphological analysis.","Lack of exploration of segmentation techniques in conversational AI applications, specifically in low-resource contexts.","The study highlights the need for more robust segmentation methods for fusion languages in conversational AI, noting that existing models may not generalize well to such contexts."
82,Morphologically Annotated Amharic Text Corpora,2021,"Tilahun Yeshambel, Josiane Mothe, Yaregal Assabie",To present morphologically annotated Amharic lexicons and corpora for evaluating morphological analyzers and IR.,Lack of morphological analyzers for Amharic; complexity of Amharic morphology; under-resourced language issues.,Limited existing digital resources for Amharic; challenges in segmentation of morphemes.,Morphologically annotated Amharic lexicons and corpora from the 2AIRTC collection.,"170,000 morphologically annotated terms; includes stem-based and root-based corpora.",Not explicitly mentioned; implied metrics related to evaluation of morphological analyzers and IR effectiveness.,,,,"Information retrieval, natural language processing, text mining, translation, question answering.","Query-document matching, morphological annotation, lexical resource creation.",Insufficient resources for Amharic in conversational AI; need for more comprehensive morphological understanding.,The development of Amharic IR and NLP applications is hindered by a lack of resources and the complexity of its morphology. More robust tools and annotated corpora are necessary to advance research in this area.
83,"Natural Language Processing in Ethiopian Languages: Current State, Challenges, and Opportunities",2023,"Atnafu Lambebo Tonja, Tadesse Destaw Belay, Israel Abebe Azime, Abinew Ali Ayele, Moges Ahmed Mehamed, Olga Kolesnikova, Seid Muhie Yimam","To identify key challenges and opportunities for NLP in Ethiopian languages, report the current state of NLP research, and provide a centralized repository for publicly available resources.","Lack of annotated data, limited resources for NLP development, insufficient tools, and lack of attention towards low-resource languages like those spoken in Ethiopia.","Limited research in low-resource languages, unavailability of datasets and models, and the predominance of high-resource languages in NLP advancements.","Various datasets were used for NLP tasks in Amharic, Afaan Oromo, Tigrinya, and Wolaytta. Specific datasets include those for POS tagging, NER, machine translation, and sentiment analysis.","Varies by study; examples include datasets of sizes 8,603 (RNNMT), 336,000 (NMT), and 1,140,130 (NMT).","Metrics include accuracy scores for classification tasks (e.g., 94.52 for POS tagging) and BLEU scores for translation tasks (e.g., 67.57 for hybrid MT).",,,,"Applications include machine translation, sentiment analysis, named entity recognition, question classification, and hate speech detection.","Tasks discussed include POS tagging, NER, machine translation, sentiment analysis, and question answering.",Limited exploration of conversational AI applications in Ethiopian languages and the need for more datasets and models to support dialogue systems in these languages.,"Emphasis on the need for more collaborative efforts in data collection, development of NLP tools, and engagement of local researchers to promote sustainable growth in NLP for Ethiopian languages."
84,Transfer Learning for Less-Resourced Semitic Languages Speech Recognition: the Case of Amharic ​,2020,Yonas Woldemariam,Investigate transfer learning to improve Amharic ASR model using limited resources by adapting models from English and Mandarin. ​,"Resource scarcity, phonetic mismatching, high speech recognition error, lack of deep neural net based computing resources. ​","Limited to open source data, not considering well-resourced Semitic languages like Arabic, limited computing resources. ​","Amharic, English, and Mandarin speech corpora. ​","Amharic: 20 hours training, 2 hours testing; English: 100 hours (English-1), 460 hours (English-2); Mandarin: 178 hours. ​",Word Error Rate (WER) ​,,,,Automatic Speech Recognition (ASR) ​,"Speech transcription, improving searchability of audio and video content ​","Lack of sufficient annotated data, unique linguistic nature of Semitic languages, limited research on deep learning methods for Amharic. ​","Need for more research on phonetic similarities, larger and higher quality lexicons, and better computing resources for training. ​"
85,Construction of Amharic information retrieval resources and corpora,2024,"Tilahun Yeshambel, Josiane Mothe, Yaregal Assabie",To construct usable Amharic information retrieval resources and corpora for ad-hoc retrieval tasks.,Lack of publicly accessible resources for Amharic; complexity of morphological features; limited existing corpora.,Existing resources are not suitable for scientific evaluation; many are not publicly available.,"Amharic ad-hoc retrieval test collection including raw text, annotated corpora, stopword lists, and lexicons.",Not explicitly stated; includes multiple components such as raw text and annotated corpora.,Usability evaluation by linguists; experimental evaluations on constructed resources.,,,,Information retrieval tasks specific to the Amharic language.,Ad-hoc retrieval evaluation and related NLP applications.,Insufficient resources for developing conversational AI systems in Amharic due to under-resourcing.,Highlights the necessity for accessible and usable linguistic resources to enhance IR and NLP in Amharic.
86,Usable Amharic Text Corpus for Natural Language Processing Applications,2022,"Michael Melese Woldeyohannis, Million Meshesha",To prepare a usable Amharic text corpus for various NLP applications and validate its usability.,Lack of digital resources for Amharic; complexity due to morphological richness; absence of standard tools.,Limited availability of structured language corpora; challenges in lemmatization and high computational complexity.,"A collection of 67,739 Amharic news documents from eight different categories.","67,739 documents",Accuracy of 84.53% in document classification using deep learning techniques.,,,,"Document classification, topic modeling, machine translation, speech recognition.",Classification of Amharic news documents,Insufficient resources for NLP applications in under-resourced languages like Amharic; need for more comprehensive datasets.,The study highlights the necessity for developing large-scale corpus resources for under-resourced languages to enhance NLP applications.
87,The Development of Pre-processing Tools and Pre-trained Embedding Models for Amharic,2022,"Tadesse Destaw Belay, Abinew Ali Ayele, Seid Muhie Yimam",To develop publicly available pre-processing tools and pre-trained embedding models for Amharic NLP.,Lack of publicly available resources and tools for Amharic; need for effective tokenization and segmentation tools.,Absence of well-developed NLP applications; reliance on non-optimized tools for Amharic processing.,A moderately large-scale Amharic text corpus comprising 6.8 million sentences from various sources.,6.8 million sentences,"Precision, Recall, F1 scores for NER classification models using different embedding techniques.",,,,"NLP tasks including document classification, named entity recognition, and machine translation.",Named Entity Recognition (NER),Insufficient resources for developing conversational AI applications in Amharic due to low-resource status.,Emphasizes the need for releasing NLP resources to facilitate further research and application development in Amharic NLP.
88,An Amharic News Text classification Dataset,2021,"Israel Abebe Azime, Nebil Mohammed ",To introduce an Amharic text classification dataset consisting of over 50k news articles categorized into 6 classes. This aims to encourage studies and better performance experiments in NLP for Amharic [1].,"Lack of labeled training data for low-resource languages like Amharic, and the scarcity of standard Amharic text classification corpus [2] [1].","The dataset is imbalanced, which may affect model performance [3] [4].",Amharic News Text classification dataset,"More than 50,000 news articles [1].",Baseline performance metrics include accuracy of 62.2% using Naive Bayes with count vectorizer and 62.3% with TF-IDF features [3].,,,,"Encouraging junior researchers, schools, and machine learning practitioners to implement classification models in Amharic [1].",Text classification tasks using the provided dataset [5].,"The paper highlights the need for more labeled data and better performance in low-resource languages like Amharic, which is a gap in conversational AI research [1].",The dataset's imbalance and the lack of advanced models being tested indicate a need for further exploration of techniques to improve performance in Amharic language data [3]
